,School,CDS_CODE,ncesId,Latitude,Longitude,public_schools_in_range_gs_weight,public_schools_in_range_ps_weight,public_schools_in_range_total,neighborhood_GS_score,neighborhood_PS_score
346,Renaissance Arts Academy,19647330101683,062271011314,34.108011,-118.24172,42402,25792,6448.0,6.575992555831266,4.0
347,Ocean Charter,19647330102335,062271010833,33.986961,-118.42408,142428,92955,22729.0,6.266355756962471,4.08970918210216
348,PUC Milagro Charter,19647330102426,062271010835,34.066457,-118.22025,105330,100755,25812.0,4.080660158066016,3.9034170153417014
349,Animo South Los Angeles Charter,19647330102434,062271010836,33.933015,-118.30829,104607,104817,30722.0,3.404954104550485,3.411789597031443
350,PUC Lakeview Charter Academy,19647330102442,062271010837,34.280132,-118.38154,21646,21883,6112.0,3.541557591623037,3.580333769633508
351,N.E.W. Academy Canoga Park,19647330102483,062271010838,34.206552,-118.59789,34395,40958,10539.0,3.2635923711927126,3.8863269759939274
352,Dr. Theodore T. Alexander Jr. Science Center,19647330102491,062271010839,34.016902,-118.28288,74600,112177,32821.0,2.2729350111209286,3.417842235154322
353,New Designs Charter,19647330102541,062271010840,34.030857,-118.27494,59015,83632,24371.0,2.421525583685528,3.4316195478232325
354,Ivy Academia,19647330106351,062271010845,34.206187,-118.65440,12045,15381,3672.0,3.2802287581699345,4.188725490196078
355,Synergy Charter Academy,19647330106427,062271010846,34.014575,-118.26081,85827,116305,33755.0,2.5426455339949636,3.445563620204414
356,Camino Nuevo Charter High,19647330106435,062271010847,34.057982,-118.25793,34243,44936,10924.0,3.134657634566093,4.113511534236544
357,Animo Venice Charter High,19647330106831,062271010848,33.997083,-118.46357,127476,77656,18203.0,7.003021479975828,4.266109981871121
358,Animo Pat Brown,19647330106849,062271010849,33.963087,-118.24216,212814,236612,67687.0,3.144089707033847,3.495678638438696
359,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,19647330106864,062271010851,34.036313,-118.28256,47417,63250,19277.0,2.4597707112102505,3.2811122062561604
360,Bert Corona Charter,19647330106872,062271010852,34.239736,-118.41481,115705,122693,33301.0,3.474520284676136,3.6843638329179305
361,Port of Los Angeles High,19647330107755,062271010864,33.740128,-118.28187,7286,6203,1839.0,3.9619358346927678,3.3730288200108753
362,CHAMPS - Charter HS of Arts-Multimedia & Performing,19647330108878,062271010865,34.195128,-118.44752,114195,115859,30630.0,3.72820763956905,3.782533463924257
363,Gabriella Charter,19647330108886,062271010866,34.079349,-118.25708,8625,12810,2911.0,2.962899347303332,4.40054963929921
364,Alliance Judy Ivie Burton Technology Academy High,19647330108894,062271010867,33.944203,-118.27849,117229,150483,43619.0,2.6875673445058346,3.4499415392374884
365,Alliance Richard Merkin Middle,19647330108902,062271010868,34.036313,-118.28256,47417,63250,19277.0,2.4597707112102505,3.2811122062561604
366,ISANA Nascent Academy,19647330108910,062271010869,34.025868,-118.33334,55737,62350,18353.0,3.036942189287855,3.397264752356563
367,Larchmont Charter,19647330108928,062271010870,34.093570,-118.36188,25630,13896,3474.0,7.377662636729994,4.0
368,Alliance Collins Family College-Ready High,19647330108936,062271010871,33.976919,-118.23413,218560,238159,69608.0,3.1398689805769453,3.421431444661533
369,PUC CA Academy for Liberal Studies Early College High,19647330109553,062271010890,34.137422,-118.18764,92886,51190,12906.0,7.197117619711762,3.966372229970556
370,PUC Community Charter Early College High,19647330109876,062271010892,No Data,No Data,0,0,0.0,NA,NA
371,James Jordan Middle,19647330109884,062271010893,34.214408,-118.57181,80385,70490,18762.0,4.284457946913975,3.7570621468926553
372,Our Community Charter,19647330109934,062271010896,34.252614,-118.56341,31668,26657,7277.0,4.3517933214236635,3.6631853785900783
373,Crescendo Charter,19647330109959,062271010898,33.998734,-118.30892,70784,113334,33065.0,2.14075306215031,3.4276122788446997
374,Los Angeles Academy of Arts and Enterprise,19647330110304,062271011628,34.062018,-118.25455,51181,53376,13034.0,3.9267300905324536,4.095135798680374
375,New Heights Charter,19647330111211,062271011630,34.010639,-118.31767,60780,92473,26691.0,2.277172080476565,3.464576074332172
376,New Village Girls Academy,19647330111484,062271011631,34.071327,-118.27910,0,0,0.0,NA,NA
377,Alliance Patti And Peter Neuwirth Leadership Academy,19647330111492,062271011632,34.001568,-118.27383,105641,150410,42644.0,2.4772769909014163,3.527108151205328
378,Alliance Dr. Olga Mohan High,19647330111500,062271011633,34.036590,-118.27125,54690,74613,21966.0,2.4897568970226716,3.3967495219885278
379,Alliance Jack H. Skirball Middle,19647330111518,062271011634,33.930161,-118.26361,150596,160720,46261.0,3.2553554830202547,3.4742007306370377
380,Animo Ralph Bunche Charter High,19647330111575,062271011635,34.012710,-118.24398,123579,151123,41887.0,2.950294840881419,3.6078735645904456
381,Animo Jackie Robinson High,19647330111583,062271011636,34.018395,-118.27561,79670,113349,32585.0,2.4449900260856223,3.4785637563295997
382,Animo Film and Theater Arts Charter High,19647330111609,062271011638,No Data,No Data,0,0,0.0,NA,NA
383,Animo Locke Technology High,19647330111617,062271011639,33.935281,-118.26026,157329,170424,48507.0,3.24342878347455,3.5133898200259757
384,Animo Watts College Preparatory Academy,19647330111625,062271011640,33.917952,-118.26524,114823,121278,36749.0,3.1245203951127922,3.3001714332362786
385,Alliance Ouchi-O'Donovan 6-12 Complex,19647330111641,062271011641,33.993484,-118.32246,57853,89752,25872.0,2.2361239950525666,3.469078540507112
386,Alliance Marc & Eva Stern Math and Science,19647330111658,062271011642,34.062369,-118.17160,226409,177458,45404.0,4.986543035855871,3.9084221654479783
387,Hesby Oaks Leadership Charter,19647330112060,062271011654,34.162078,-118.47305,54865,44971,11367.0,4.826691299375385,3.9562769420251604
388,PUC Triumph Charter Academy,19647330112193,062271011656,34.314190,-118.45976,44335,41769,11097.0,3.9952239343966838,3.763990267639903
389,PUC Excel Charter Academy,19647330112201,062271011657,34.066457,-118.22025,105330,100755,25812.0,4.080660158066016,3.9034170153417014
390,Crescendo Charter Academy,19647330112219,062271011658,33.914375,-118.31780,164411,136303,38547.0,4.265208706254702,3.5360209614237164
391,Lou Dantzler Preparatory Charter Middle,19647330112227,062271011659,33.997337,-118.29152,103203,154307,44808.0,2.3032271023031603,3.4437377254061774
392,Los Feliz Charter School for the Arts,19647330112235,062271011660,34.108902,-118.24328,42402,25792,6448.0,6.575992555831266,4.0
393,Gifted Academy of Mathematics and Entrepreneurial Studies,19647330112334,062271011662,33.930496,-118.32116,145970,135860,38342.0,3.807052318606228,3.5433728026707003
394,Crescendo Charter Conservatory,19647330112342,062271011663,33.930785,-118.32087,145970,135860,38342.0,3.807052318606228,3.5433728026707003
395,Frederick Douglass Academy Middle,19647330112433,062271011664,34.032630,-118.31900,40850,53552,15846.0,2.577937649880096,3.379527956582103
396,Bright Star Secondary Charter Academy,19647330112508,062271011665,33.928811,-118.30608,103247,100701,29836.0,3.4604839790856685,3.3751508245073065
397,Lou Dantzler Preparatory Charter High,19647330112540,062271011666,33.988543,-118.36856,98395,83098,22796.0,4.316327425864187,3.6452886471310757
398,Frederick Douglass Academy High,19647330112557,062271011667,34.032630,-118.31900,40850,53552,15846.0,2.577937649880096,3.379527956582103
399,Student Empowerment Academy,19647330112862,062271012035,34.009239,-118.25154,124360,157209,44428.0,2.7991356802016747,3.5385117493472587
400,Aspire Junior Collegiate Academy,19647330114884,062271012077,33.977946,-118.23499,213050,234827,67638.0,3.1498565894911144,3.471820574233419
401,Alliance College-Ready Academy High No. 7,19647330114942,062271011844,33.976373,-118.32583,62827,103683,29898.0,2.1013780185965616,3.467890828817981
402,Monsenor Oscar Romero Charter Middle,19647330114959,062271011928,34.049274,-118.29391,28478,37603,10596.0,2.6876179690449225,3.5487919969799924
403,Global Education Academy,19647330114967,062271011931,34.008437,-118.28279,92178,133189,39262.0,2.3477662880138555,3.3923131781366207
404,Fenton Primary Center,19647330115048,062271012019,34.276370,-118.40371,63237,61609,16969.0,3.726619128999941,3.6306794743355533
405,"Ivy Bound Academy of Math, Science, and Technology Charter Middle",19647330115113,062271011856,34.160903,-118.46807,61641,51875,12887.0,4.78319236439823,4.02537440831846
406,Center for Advanced Learning,19647330115139,062271012044,34.010657,-118.25650,112000,150377,42258.0,2.650385725779734,3.558545127549813
407,Discovery Charter Preparatory School #2,19647330115253,062271011889,34.319080,-118.42517,39506,37298,10110.0,3.907616221562809,3.6892185954500496
408,Thurgood Marshall Charter Middle,19647330115261,062271011870,34.024304,-118.30027,60810,91159,27736.0,2.192457456013845,3.2866671473896742
409,Thurgood Marshall Charter High,19647330115279,0622710No Data,No Data,No Data,0,0,0.0,NA,NA
410,ICEF Vista Middle Academy,19647330115287,062271011954,33.995110,-118.41818,148618,95951,23519.0,6.319061184574174,4.079722777328968
411,Fernando Pullum Performing Arts High,19647330115295,062271012037,33.996075,-118.27831,116894,165880,47269.0,2.472952675114769,3.5092766929700225
412,Full Circle Learning Academy,19647330115311,062271011933,No Data,No Data,0,0,0.0,NA,NA
413,Crescendo Charter Preparatory West,19647330115758,062271012141,33.884570,-118.30582,146671,107354,28029.0,5.2328302829212605,3.8301045345891755
414,Celerity Dyad Charter,19647330115766,062271012162,34.002600,-118.25930,127683,171769,48509.0,2.6321507349151703,3.5409717784328683
415,Crescendo Charter Preparatory Central,19647330115774,062271012149,No Data,No Data,0,0,0.0,NA,NA
416,Celerity Troika Charter,19647330115782,062271012120,34.139305,-118.19754,81820,48903,12088.0,6.768696227663799,4.045582395764394
417,Crescendo Charter Preparatory South,19647330115790,062271012124,33.961217,-118.30024,93230,136866,40490.0,2.3025438379846874,3.380242035070388
418,Alliance Morgan McKinzie High,19647330116509,062271012259,34.035647,-118.18775,193291,176731,44364.0,4.356933549725002,3.9836579208367144
419,Alliance Christine O'Donovan Middle Academy,19647330116533,062271012297,33.993504,-118.32149,58969,90868,26988.0,2.1850081517711577,3.366977916110864
420,Enadia Way Technology Charter,19647330117036,062271012217,34.200001,-118.62572,17530,22245,5529.0,3.170555254114668,4.023331524688008
421,APEX Academy,19647330117077,062271012312,34.052234,-118.24368,87863,88813,22303.0,3.939514863471282,3.982110030040802
422,Legacy Charter High,19647330117317,062271012228,No Data,No Data,0,0,0.0,NA,NA
423,Alliance Piera Barbaglia Shaheen Health Services Academy,19647330117598,062271012378,33.960830,-118.29403,101717,148750,43729.0,2.3260765167280293,3.4016327837361935
424,Alliance Leichtman-Levine Family Foundation Environmental Science High,19647330117606,062271012342,34.113837,-118.24692,63829,37366,9493.0,6.7237964816180344,3.9361634888865478
425,New Los Angeles Charter,19647330117614,062271012324,34.041298,-118.35758,87151,61385,16404.0,5.312789563521092,3.74207510363326
426,Magnolia Science Academy 4,19647330117622,062271012360,34.029816,-118.43558,218420,122921,30488.0,7.164130149567042,4.031782996588822
427,Magnolia Science Academy 5,19647330117630,062271012347,34.188617,-118.52935,94489,68561,18379.0,5.141139343816312,3.7303988247456337
428,Magnolia Science Academy 6,19647330117648,062271012322,34.023973,-118.40035,188569,107561,27235.0,6.923774554800808,3.949366623829631
429,Magnolia Science Academy 7,19647330117655,062271012235,34.221858,-118.53364,116137,81777,22532.0,5.154313864725723,3.6293715604473635
430,Para Los Niños Middle,19647330117846,062271012361,34.035991,-118.24714,83616,94625,24455.0,3.419178082191781,3.869351870783071
431,Synergy Kinetic Academy,19647330117895,062271012276,34.015715,-118.24877,112115,140630,39394.0,2.8459917753972688,3.5698329694877393
432,KIPP Raices Academy,19647330117903,062271012292,34.022971,-118.15613,176452,148150,39115.0,4.511108270484469,3.787549533427074
433,New Millennium Secondary,19647330117911,062271012253,33.867246,-118.29473,145435,94569,24822.0,5.859116912416405,3.809886391104665
434,Larchmont Charter-West Hollywood,19647330117929,062271012307,34.093555,-118.36154,25630,13896,3474.0,7.377662636729994,4.0
435,ICEF Vista Elementary Academy,19647330117937,062271012222,33.995110,-118.41818,148618,95951,23519.0,6.319061184574174,4.079722777328968
436,ICEF Lou Dantzler Preparatory Academy,19647330117945,062271012227,33.986184,-118.29393,102983,157335,46694.0,2.205486786310875,3.369490726859982
437,ICEF Innovation Los Angeles Charter,19647330117952,062271012194,33.997092,-118.29188,100351,151455,44095.0,2.2757909059984125,3.434743168159655
438,Aspire Huntington Park Charter,19647330117960,062271012205,33.987036,-118.22145,212581,224315,64398.0,3.301049722041057,3.483260349700301
439,Goethe International Charter,19647330117978,062271012215,33.987312,-118.42225,142428,92955,22729.0,6.266355756962471,4.08970918210216
440,Anahuacalmecac International Preparatory High School of North America,19647330118158,062271012271,34.085252,-118.18123,155403,103745,26438.0,5.878016491413874,3.9240865420984945
441,Animo Locke Charter High School #3,19647330118570,062271012285,33.934867,-118.26893,135778,152889,44267.0,3.067250999615967,3.4537917636162376
442,Alain Leroy Locke College Preparatory Academy,19647330118588,062271012248,33.934867,-118.26893,135778,152889,44267.0,3.067250999615967,3.4537917636162376
443,Animo Locke II College Preparatory Academy,19647330118596,062271012306,33.934867,-118.26893,135778,152889,44267.0,3.067250999615967,3.4537917636162376
444,Animo Locke ACE Academy,19647330119909,062271012436,33.934867,-118.26893,135778,152889,44267.0,3.067250999615967,3.4537917636162376
445,PUC Santa Rosa Charter Academy,19647330119974,062271012537,34.118988,-118.23090,67708,40914,10380.0,6.5229287090558765,3.9416184971098267
446,Equitas Academy Charter,19647330119982,062271012479,34.045153,-118.27835,39093,50353,13855.0,2.8215806568025985,3.6342836521111512
447,Endeavor College Preparatory Charter,19647330120014,062271012536,34.027019,-118.21957,133284,142743,37193.0,3.5835775549162476,3.8378996047643374
448,Valor Academy Middle,19647330120022,062271012510,34.234685,-118.46264,159951,142432,39522.0,4.047138302717474,3.603866201103183
449,Alliance College-Ready Middle Academy 4,19647330120030,062271012528,33.947773,-118.27422,136553,170172,48730.0,2.8022368151036323,3.492140365278063
450,Alliance College-Ready Middle Academy 5,19647330120048,062271012474,34.072418,-118.22002,101100,99118,24492.0,4.1278784909358155,4.0469541074636615
451,PUC Nueva Esperanza Charter Academy,19647330120055,062271012476,34.287618,-118.43854,103918,93935,26181.0,3.9692143157251443,3.5879072609907947
452,New Designs Charter School-Watts,19647330120071,062271012456,33.917147,-118.26516,115131,119458,36497.0,3.1545332493081624,3.2730909389812863
453,Academia Moderna,19647330120097,062271012455,33.967144,-118.22965,236807,250439,72456.0,3.268286960362151,3.4564287291597657
454,Aspire Titan Academy,19647330120477,062271012447,33.978062,-118.23430,217238,237968,68685.0,3.1628157530756353,3.464628375919051
455,Watts Learning Center Charter Middle,19647330120527,062271012491,33.957150,-118.26875,155290,193999,56115.0,2.7673527577296624,3.4571683150672725
456,Futuro College Preparatory Elementary,19647330120667,062271012516,34.022041,-118.21146,167957,174599,45792.0,3.667824074074074,3.812871243885395
457,Westside Innovative School House,19647330121012,062271012527,33.967745,-118.40387,102788,72620,18849.0,5.453233593294074,3.8527242824553025
458,Ararat Charter,19647330121079,062271012437,34.190002,-118.44659,108923,108369,29012.0,3.7544119674617398,3.7353164207913965
459,Ingenium Charter,19647330121137,062271012570,34.211776,-118.61105,27937,33600,8658.0,3.2267267267267266,3.8808038808038807
460,Alliance College-Ready Middle Academy 7,19647330121277,062271012573,33.976373,-118.32583,62827,103683,29898.0,2.1013780185965616,3.467890828817981
461,Alliance Cindy and Bill Simon Technology Academy High,19647330121285,062271012567,33.938477,-118.23896,225828,220461,62484.0,3.6141732283464565,3.5282792394853084
462,Alliance Tennenbaum Family Technology High,19647330121293,062271012572,34.102260,-118.23739,41228,29696,7424.0,5.553340517241379,4.0
463,KIPP Empower Academy,19647330121699,062271012717,33.961931,-118.28268,118955,166690,48856.0,2.4348084165711477,3.411863435401998
464,KIPP Comienza Community Prep,19647330121707,062271012705,33.973746,-118.23212,224935,242650,71082.0,3.1644438817140768,3.4136630933288314
465,Crown Preparatory Academy,19647330121848,062271012811,34.035675,-118.31158,40580,59169,17163.0,2.3643885101672204,3.447474217794092
466,TEACH Academy of Technologies,19647330122242,062271012622,33.944028,-118.30936,98563,115768,34303.0,2.873305541789348,3.3748651721423784
467,Animo Jefferson Charter Middle,19647330122481,062271012690,34.012710,-118.24398,123579,151123,41887.0,2.950294840881419,3.6078735645904456
468,Animo Westside Charter Middle,19647330122499,062271012631,33.977473,-118.41862,120053,77376,19314.0,6.215853784819302,4.0062131096613856
469,Citizens of the World Charter School Hollywood,19647330122556,062271012708,34.047217,-118.32579,50384,46505,12781.0,3.94210155699867,3.638604178076833
470,Camino Nuevo Elementary #3,19647330122564,062271012805,34.039098,-118.29440,42288,54331,16306.0,2.5934012020115293,3.3319636943456397
471,PUC Triumph Charter High,19647330122598,062271012812,34.234825,-118.39801,90219,94840,24762.0,3.6434456021322994,3.830062192068492
472,PUC Lakeview Charter High,19647330122606,062271012816,34.314190,-118.45976,44335,41769,11097.0,3.9952239343966838,3.763990267639903
473,Aspire Gateway Academy Charter,19647330122614,062271012679,33.951564,-118.18911,287335,255131,73618.0,3.9030536010214893,3.4656062376049337
474,Aspire Firestone Academy Charter,19647330122622,062271012761,33.951564,-118.18911,287335,255131,73618.0,3.9030536010214893,3.4656062376049337
475,Para Los Niños - Evelyn Thurman Gratts Primary,19647330122630,062271012616,34.056466,-118.26396,21287,26127,6678.0,3.1876310272536688,3.9123989218328843
476,ISANA Octavia Academy,19647330122655,062271012782,34.115657,-118.24078,66073,38862,9867.0,6.696361609405088,3.9385831559744604
477,Aspire Pacific Academy,19647330122721,062271012634,33.990184,-118.22593,181158,202425,57338.0,3.159475391537898,3.5303812480379504
478,Vista Charter Middle,19647330122739,062271012776,34.074112,-118.27854,0,0,0.0,NA,NA
479,Magnolia Science Academy Bell,19647330122747,062271012695,33.978914,-118.19941,207602,193204,55794.0,3.7208660429436855,3.4628096211062123
480,Valley Charter Elementary,19647330122754,062271012641,34.234961,-118.49203,152924,124230,34917.0,4.379643153764642,3.557865796030587
481,Los Angeles Big Picture High,19647330122762,062271012699,34.048788,-118.25740,49192,61197,15437.0,3.1866295264623954,3.964306536244089
482,Valley Charter Middle,19647330122838,062271012643,34.200628,-118.45240,130403,127825,34335.0,3.79796126401631,3.7228775302169796
483,Antecello Preparatory Academy,19647330122846,062271012803,No Data,No Data,0,0,0.0,NA,NA
484,Camino Nuevo Academy #2,19647330122861,062271012738,34.068548,-118.28892,0,0,0.0,NA,NA
485,Alliance Susan and Eric Smidt Technology High,19647330123133,062271012817,34.072368,-118.22022,101100,99118,24492.0,4.1278784909358155,4.0469541074636615
486,Alliance Ted K. Tajima High,19647330123141,062271012766,34.063479,-118.26153,20071,24147,5992.0,3.3496328437917224,4.029873164218959
487,Arts In Action Community Charter,19647330123158,062271012683,34.032249,-118.15506,184476,150497,40748.0,4.527240600765682,3.6933591832727988
488,ISANA Palmati Academy,19647330123166,062271012614,34.189605,-118.39757,140279,120041,31726.0,4.421578516043623,3.783679001449915
489,ISANA Cardinal Academy,19647330123984,062271012942,34.203587,-118.37786,123655,103206,27270.0,4.534470113678035,3.7845984598459848
490,Animo Ellen Ochoa Charter Middle,19647330123992,062271012905,34.041104,-118.17176,232028,200996,51406.0,4.513636540481656,3.9099715986460724
491,Animo James B. Taylor Charter Middle,19647330124008,062271012908,33.934818,-118.25988,153589,166684,47759.0,3.2159174187064217,3.4901065767708706
492,Animo Legacy Charter Middle,19647330124016,062271012935,33.920533,-118.30678,120113,110086,31718.0,3.7869033356453747,3.47077369317107
493,Animo Phillis Wheatley Charter Middle,19647330124024,062271012939,33.921090,-118.30786,125618,115422,33052.0,3.8006172092460364,3.4921336076485536
494,Extera Public,19647330124198,062271012982,34.042620,-118.21301,152481,149870,37318.0,4.085990674741412,4.0160244386087145
495,Rise Kohyang Middle,19647330124222,062271012852,34.061106,-118.28746,8896,11324,2831.0,3.142352525609325,4.0
496,Synergy Quantum Academy,19647330124560,062271012883,33.994220,-118.27010,130547,178621,50495.0,2.5853450836716507,3.537399742548767
497,Aspire Slauson Academy Charter,19647330124784,062271012950,33.986959,-118.27482,133816,185055,52293.0,2.5589658271661597,3.538810165796569
498,Aspire Juanita Tate Academy Charter,19647330124792,062271012967,33.986959,-118.27482,133816,185055,52293.0,2.5589658271661597,3.538810165796569
499,Aspire Inskeep Academy Charter,19647330124800,062271012856,33.986959,-118.27482,133816,185055,52293.0,2.5589658271661597,3.538810165796569
500,Los Angeles Leadership Primary Academy,19647330124818,062271012963,34.077544,-118.21182,96036,92812,23106.0,4.156323032978447,4.016792175192591
501,Camino Nuevo Charter Academy #4,19647330124826,062271012915,34.076816,-118.26529,1826,4565,913.0,2.0,5.0
502,Animo College Preparatory Academy,19647330124883,062271012903,33.944503,-118.23114,251924,243203,69897.0,3.6042176345193644,3.4794483311157847
503,Alliance Renee and Meyer Luskin Academy High,19647330124891,062271012848,33.977090,-118.32575,66235,105955,30466.0,2.17406288977877,3.4778113306636906
504,PUC Early College Academy for Leaders and Scholars (ECALS),19647330124933,062271012869,34.290459,-118.44949,100237,86014,24031.0,4.171153926178686,3.579293412675294
505,Alliance Margaret M. Bloomfield Technology Academy High,19647330124941,062271012924,33.967152,-118.23061,233957,246164,71031.0,3.293730906224043,3.465585448606946
506,KIPP Philosophers Academy,19647330125609,062271013002,33.963384,-118.25609,198656,232152,66269.0,2.9977214081999124,3.5031764475093934
507,KIPP Scholar Academy,19647330125625,062271013004,34.010736,-118.30961,69460,108740,31897.0,2.177634260275261,3.4090980342978963
508,KIPP Sol Academy,19647330125641,062271013005,34.040184,-118.16131,230098,191589,50488.0,4.557479004912058,3.7947433053398827
509,Ednovate - USC Hybrid High College Prep,19647330125864,062271013094,34.013426,-118.29182,76715,114396,33515.0,2.2889750857824853,3.4132776368790094
510,Apple Academy Charter Public,19647330126078,062271013183,33.998521,-118.30867,74786,119337,35066.0,2.13272115439457,3.4032110876632635
511,The City,19647330126102,062271013067,34.032519,-118.44457,211672,115192,28008.0,7.557554984290203,4.11282490716938
512,Math and Science College Preparatory,19647330126136,062271013084,34.032239,-118.31900,40850,53552,15846.0,2.577937649880096,3.379527956582103
513,Equitas Academy #2,19647330126169,062271013145,34.057891,-118.28503,16663,19091,5262.0,3.1666666666666665,3.6280881793994677
514,Citizens of the World Charter School Silver Lake,19647330126177,062271013114,34.100491,-118.31182,0,0,0.0,NA,NA
515,Academy of Science and Engineering,19647330126185,062271013044,34.022330,-118.37128,136934,95003,25152.0,5.444258905852418,3.7771548982188294
516,Citizens of the World Charter School Mar Vista,19647330126193,062271013088,34.031575,-118.44245,231444,126368,30670.0,7.546266710140202,4.120247799152266
517,Aspire Centennial College Preparatory Academy,19647330126797,062271013135,33.977440,-118.23388,217949,236326,68997.0,3.1588184993550446,3.4251634129020103
518,Alliance Alice M. Baxter College-Ready High,19647330127217,062271013099,33.735787,-118.28715,2776,4850,1388.0,2.0,3.494236311239193
519,KIPP Iluminar Academy,19647330127670,062271013657,34.040184,-118.16131,230098,191589,50488.0,4.557479004912058,3.7947433053398827
520,Executive Preparatory Academy of Finance,19647330127852,062271013527,33.887316,-118.32531,190478,134901,35598.0,5.350806225068824,3.7895668295971685
521,Pathways Community,19647330127878,062271013319,33.957150,-118.26875,155290,193999,56115.0,2.7673527577296624,3.4571683150672725
522,City Language Immersion Charter,19647330127886,062271013642,34.043882,-118.32485,50384,46505,12781.0,3.94210155699867,3.638604178076833
523,Valor Academy High,19647330127894,062271013564,34.240804,-118.45851,165913,147170,40400.0,4.1067574257425745,3.642821782178218
524,Camino Nuevo High #2,19647330127910,062271013537,34.076443,-118.28550,0,0,0.0,NA,NA
525,PREPA TEC - Los Angeles,19647330127936,062271013348,33.983783,-118.22334,222161,240053,68758.0,3.231056749760028,3.4912737426917597
526,Urban Village Middle,19647330127951,062271013390,34.022330,-118.37128,136934,95003,25152.0,5.444258905852418,3.7771548982188294
527,Metro Charter,19647330127977,062271013378,34.078001,-118.21570,96036,92812,23106.0,4.156323032978447,4.016792175192591
528,Ingenium Charter Middle,19647330127985,062271013466,34.202184,-118.56885,90073,79386,20986.0,4.292051844086534,3.782807586009721
529,Alliance Virgil Roberts Leadership Academy,19647330128009,062271013597,33.977090,-118.32575,66235,105955,30466.0,2.17406288977877,3.4778113306636906
530,Alliance College-Ready Middle Academy 8,19647330128033,062271013273,34.035463,-118.18731,193291,176731,44364.0,4.356933549725002,3.9836579208367144
531,Alliance Kory Hunter Middle,19647330128041,062271013487,33.987113,-118.24738,166881,205558,58100.0,2.872306368330465,3.538003442340792
532,Alliance College-Ready Middle Academy 12,19647330128058,062271013403,33.997698,-118.27327,121265,167659,47032.0,2.5783509100187105,3.5647856778363667
533,Global Education Academy Middle,19647330128116,062271013212,34.045097,-118.31720,30445,38540,11365.0,2.678838539375275,3.391113066432028
534,Extera Public School No. 2,19647330128132,062271013316,34.025523,-118.20272,167946,160819,41259.0,4.0705300661673816,3.8977919968976464
535,New Horizons Charter Academy,19647330128371,062271013684,34.178844,-118.38307,141457,103831,27088.0,5.222127879503839,3.8330995274660364
536,"Ivy Bound Academy Math, Science, and Technology Charter Middle 2",19647330128389,062271013685,34.228191,-118.56985,53910,52321,13860.0,3.8896103896103895,3.774963924963925
537,KIPP Academy of Innovation,19647330128512,062271013691,34.018603,-118.18218,188902,173169,45289.0,4.171034909139085,3.8236437103932523
538,Animo Mae Jemison Charter Middle,19647330129270,062271013787,33.917548,-118.26404,121235,127377,38892.0,3.117222050807364,3.275146559703795
539,Westside Innovative School House Charter Middle,19647330129379,062271013788,33.972654,-118.40542,107728,75700,19712.0,5.465097402597403,3.840300324675325
540,KIPP Vida Preparatory Academy,19647330129460,062271013760,34.003387,-118.29568,90169,134678,39411.0,2.2879145416254345,3.4172692902996626
541,PUC Inspire Charter Academy,19647330129593,062271013750,34.276957,-118.40590,67581,63781,17693.0,3.8196461877578702,3.60487198327022
542,PUC Community Charter Elementary,19647330129619,062271013768,34.306469,-118.43865,56748,53598,15063.0,3.7673770165305718,3.5582553276239794
543,TEACH Tech Charter High,19647330129627,062271013741,33.939400,-118.30879,99671,107224,30877.0,3.228001425008906,3.4726171584026946
544,Equitas Academy #3 Charter,19647330129650,062271013802,34.048537,-118.27591,33390,42285,11838.0,2.8205778003041053,3.5719716168271667
545,Clemente Charter,19647330129825,062271013742,33.989428,-118.19135,178417,180831,50705.0,3.5187259639088846,3.566334680997929
546,Global Education Academy 2,19647330129833,062271013789,34.040299,-118.32542,53409,55008,15806.0,3.3790332785018347,3.4801973933949135
547,Everest Value,19647330129858,062271013756,34.061075,-118.29524,12895,16303,4565.0,2.8247535596933186,3.571303395399781
548,Village Charter Academy,19647330129866,062271013765,34.204058,-118.60305,34000,39544,10144.0,3.3517350157728707,3.8982649842271293
549,Community Preparatory Academy,19647330129874,062271013749,33.975705,-118.31838,87373,130139,37913.0,2.3045657162450874,3.4325693034051645
550,Fenton STEM Academy: Elementary Center for Science Technology Engineering and Mathematics,19647330131466,062271013872,34.231474,-118.36620,40818,43061,11015.0,3.7056740807989104,3.9093054925102133
551,Renaissance Arts Academy K-12,19647330131680,062271013870,34.139240,-118.20673,81241,48131,11895.0,6.829844472467423,4.0463219840269025
552,Fenton Charter Leadership Academy,19647330131722,062271013900,34.231474,-118.36620,40818,43061,11015.0,3.7056740807989104,3.9093054925102133
553,KIPP Ignite Academy,19647330131771,062271013883,33.953599,-118.25609,186015,218045,62522.0,2.9751927321582805,3.487492402674259
554,KIPP Promesa Prep,19647330131797,062271013877,34.037610,-118.20181,184326,164910,41253.0,4.468184132063123,3.9975274525489057
555,Collegiate Charter High of Los Angeles,19647330131821,062271013851,34.039318,-118.18046,198088,181462,45672.0,4.33718689788054,3.9731564196882116
556,Summit Preparatory Charter,19647330131839,062271013881,33.990892,-118.26436,133976,183290,51948.0,2.579040579040579,3.5283360283360286
557,Public Policy Charter,19647330131847,062271013868,34.012037,-118.30943,66766,103352,30550.0,2.185466448445172,3.3830441898527006
