,School,School,School,School,School,School,location_home,location_home,location_home,location_home,location_home,location_home,Latitude,Latitude,Latitude,Latitude,Latitude,Latitude,Longitude,Longitude,Longitude,Longitude,Longitude,Longitude,predicted_survival,predicted_survival,predicted_survival,predicted_survival,predicted_survival,predicted_survival,Safe,Safe,Safe,Safe,Safe,Safe,ANN_TOTAL_ENROLL,ANN_TOTAL_ENROLL,ANN_TOTAL_ENROLL,ANN_TOTAL_ENROLL,ANN_TOTAL_ENROLL,ANN_TOTAL_ENROLL,Distance,Distance,Distance,Distance,Distance,Distance
Indexi,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5
9,Voices College-Bound Language Academy at West Contra Costa County,Invictus Academy of Richmond,REALM Charter,MIT Griffin Academy Middle,Opportunity Academy,Latitude 37.8 High,"(37.997474, -122.30217)","(37.985734, -122.30765)","(37.867407, -122.29489)","(38.14812, -122.24922)","(37.783496, -122.23538)","(37.777138, -122.23001)",37.997474,37.985734,37.867407,38.14812,37.783496,37.777138,-122.30217,-122.30765,-122.29489,-122.24922,-122.23538,-122.23001,0.9693067,0.980271,0.96599644,0.980271,0.80295205,0.91688186,Safe,Safe,Safe,Safe,Safe,Safe,133.0,78.0,383.0,136.0,23.0,52.0,0.0,0.8631883146421665,8.979429987124755,10.783809061994967,15.202601011862996,15.69981653925111
10,John Adams Academy - El Dorado Hills,Clarksville Charter,Buckeye Union Mandarin Immersion Charter,Century High School An Integrated Global Studies Academy,Growth Public,Placer Academy Charter,"(38.617437, -121.05492)","(38.6232, -121.05792)","(38.664207, -121.05926)","(38.72372, -121.2927)","(38.562263, -121.35311)","(38.805258, -121.27046)",38.617437,38.6232,38.664207,38.72372,38.562263,38.805258,-121.05492,-121.05792,-121.05926,-121.2927,-121.35311,-121.27046,0.95177186,0.8618939,0.94657284,0.5731901,0.96599644,0.8060674,Safe,Safe,Safe,Risky,Safe,Safe,227.0,679.0,42.0,15.0,112.0,358.0,0.0,0.4293877141862868,3.234613211476113,14.801288949647303,16.58550069922463,17.422506771795522
11,Clarksville Charter,John Adams Academy - El Dorado Hills,Buckeye Union Mandarin Immersion Charter,Century High School An Integrated Global Studies Academy,Growth Public,Placer Academy Charter,"(38.6232, -121.05792)","(38.617437, -121.05492)","(38.664207, -121.05926)","(38.72372, -121.2927)","(38.562263, -121.35311)","(38.805258, -121.27046)",38.6232,38.617437,38.664207,38.72372,38.562263,38.805258,-121.05792,-121.05492,-121.05926,-121.2927,-121.35311,-121.27046,0.8618939,0.95177186,0.94657284,0.5731901,0.96599644,0.8060674,Safe,Safe,Safe,Risky,Safe,Safe,679.0,227.0,42.0,15.0,112.0,358.0,0.0,0.4293877141862868,2.8294932696809636,14.465447427349345,16.523466663929696,17.01881227379195
12,Buckeye Union Mandarin Immersion Charter,Clarksville Charter,John Adams Academy - El Dorado Hills,Century High School An Integrated Global Studies Academy,Placer Academy Charter,Maidu Virtual Charter Academy,"(38.664207, -121.05926)","(38.6232, -121.05792)","(38.617437, -121.05492)","(38.72372, -121.2927)","(38.805258, -121.27046)","(38.896096, -121.06856)",38.664207,38.6232,38.617437,38.72372,38.805258,38.896096,-121.05926,-121.05792,-121.05492,-121.2927,-121.27046,-121.06856,0.94657284,0.8618939,0.95177186,0.5731901,0.8060674,0.95162386,Safe,Safe,Safe,Risky,Safe,Safe,42.0,679.0,227.0,15.0,358.0,93.0,0.0,2.8294932696809636,3.234613211476113,13.270265488758083,14.995512935669757,16.003401469730736
13,Ambassador Phillip V. Sanchez II Public Charter,Kepler Neighborhood,Career Technical Education Charter,Crescent View South II,Sherman Thomas STEM Academy,Hanford Online Charter,"(36.727417, -119.80366)","(36.73799, -119.79595)","(36.760027, -119.77896)","(36.808335, -119.87032)","(36.982843, -120.06665)","(36.333585, -119.66268)",36.727417,36.73799,36.760027,36.808335,36.982843,36.333585,-119.80366,-119.79595,-119.77896,-119.87032,-120.06665,-119.66268,0.83642715,0.9770835,0.9725681,0.9459435,0.94299734,0.6418402,Safe,Safe,Safe,Safe,Safe,Risky,190.0,380.0,62.0,584.0,74.0,2.0,0.0,0.8453704297042248,2.633476646738441,6.693990294593941,22.860664627251705,28.266339725774237
14,Crescent View South II,Career Technical Education Charter,Kepler Neighborhood,Ambassador Phillip V. Sanchez II Public Charter,Sherman Thomas STEM Academy,Hanford Online Charter,"(36.808335, -119.87032)","(36.760027, -119.77896)","(36.73799, -119.79595)","(36.727417, -119.80366)","(36.982843, -120.06665)","(36.333585, -119.66268)",36.808335,36.760027,36.73799,36.727417,36.982843,36.333585,-119.87032,-119.77896,-119.79595,-119.80366,-120.06665,-119.66268,0.9459435,0.9725681,0.9770835,0.83642715,0.94299734,0.6418402,Safe,Safe,Safe,Safe,Safe,Risky,584.0,62.0,380.0,190.0,74.0,2.0,0.0,6.0641473608108,6.367827190824783,6.693990294593941,16.21862485297714,34.71293088525984
15,Kepler Neighborhood,Ambassador Phillip V. Sanchez II Public Charter,Career Technical Education Charter,Crescent View South II,Sherman Thomas STEM Academy,Hanford Online Charter,"(36.73799, -119.79595)","(36.727417, -119.80366)","(36.760027, -119.77896)","(36.808335, -119.87032)","(36.982843, -120.06665)","(36.333585, -119.66268)",36.73799,36.727417,36.760027,36.808335,36.982843,36.333585,-119.79595,-119.80366,-119.77896,-119.87032,-120.06665,-119.66268,0.9770835,0.83642715,0.9725681,0.9459435,0.94299734,0.6418402,Safe,Safe,Safe,Safe,Safe,Risky,380.0,190.0,62.0,584.0,74.0,2.0,0.0,0.8453704297042248,1.7882772088403334,6.367827190824783,22.584581480246488,28.85409770746142
16,Career Technical Education Charter,Kepler Neighborhood,Ambassador Phillip V. Sanchez II Public Charter,Crescent View South II,Sherman Thomas STEM Academy,Hanford Online Charter,"(36.760027, -119.77896)","(36.73799, -119.79595)","(36.727417, -119.80366)","(36.808335, -119.87032)","(36.982843, -120.06665)","(36.333585, -119.66268)",36.760027,36.73799,36.727417,36.808335,36.982843,36.333585,-119.77896,-119.79595,-119.80366,-119.87032,-120.06665,-119.66268,0.9725681,0.9770835,0.83642715,0.9459435,0.94299734,0.6418402,Safe,Safe,Safe,Safe,Safe,Risky,62.0,380.0,190.0,584.0,74.0,2.0,0.0,1.7882772088403334,2.633476646738441,6.0641473608108,22.138515650790076,30.10772098437477
17,California Virtual Academy at Maricopa,Valley International Preparatory High,Magnolia Science Academy 5,Magnolia Science Academy 2,Lashon Academy,High Tech LA Middle,"(34.275812, -118.79795)","(34.253424, -118.58606)","(34.188432, -118.52887)","(34.18669, -118.50542)","(34.206356, -118.45749)","(34.169504, -118.45123)",34.275812,34.253424,34.188432,34.18669,34.206356,34.169504,-118.79795,-118.58606,-118.52887,-118.50542,-118.45749,-118.45123,0.9687942,0.9280572,0.9581269,0.98369586,0.96260846,0.9480095,Safe,Safe,Safe,Safe,Safe,Safe,549.0,206.0,248.0,471.0,444.0,59.0,0.0,12.223544226121538,16.539992570079157,17.838172541258427,20.06818159871919,21.160608046362494
18,California Academy of Sports Science Fresno,Mojave River Academy - Gold Canyon,Options for Youth-Acton,Allegiance STEAM Academy - Thrive,Vista Norte Public Charter,Mojave River Academy - National Trails,"(34.069036, -117.54899)","(34.091743, -117.47154)","(34.063466, -117.42968)","(34.01595, -117.67707)","(34.12271, -117.36715)","(34.056436, -117.31027)",34.069036,34.091743,34.063466,34.01595,34.12271,34.056436,-117.54899,-117.47154,-117.42968,-117.67707,-117.36715,-117.31027,0.80295205,0.94299734,0.84931237,0.96749496,0.83642715,0.9581269,Safe,Safe,Safe,Safe,Safe,Safe,36.0,111.0,394.0,473.0,392.0,351.0,0.0,4.709505240005408,6.85445727226672,8.209298124688328,11.063673328247255,13.721205156397357
