,School,School,School,School,School,School,location_home,location_home,location_home,location_home,location_home,location_home,Latitude,Latitude,Latitude,Latitude,Latitude,Latitude,Longitude,Longitude,Longitude,Longitude,Longitude,Longitude,predicted_survival,predicted_survival,predicted_survival,predicted_survival,predicted_survival,predicted_survival,Safe,Safe,Safe,Safe,Safe,Safe,ANN_TOTAL_ENROLL,ANN_TOTAL_ENROLL,ANN_TOTAL_ENROLL,ANN_TOTAL_ENROLL,ANN_TOTAL_ENROLL,ANN_TOTAL_ENROLL,Distance,Distance,Distance,Distance,Distance,Distance
Indexi,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5
29,ISANA Himalia Academy,Gabriella Charter 2,Matrix for Success Academy,LA's Promise Charter High #1,STEM Preparatory Elementary,Vox Collegiate of Los Angeles,"(33.996155, -118.27794)","(34.0121, -118.26936)","(34.012475, -118.25769)","(33.995341, -118.30851)","(34.024325, -118.29966)","(33.959629, -118.29418)",33.996155,34.0121,34.012475,33.995341,34.024325,33.959629,-118.27794,-118.26936,-118.25769,-118.30851,-118.29966,-118.29418,0.9771896,0.96375686,0.9725681,0.9725681,0.9780172,0.9725681,Safe,Safe,Safe,Safe,Safe,Safe,615.0,126.0,26.0,56.0,147.0,42.0,0.0,1.2043072654659333,1.617539155213299,1.7558623160956879,2.3073837098501646,2.6846615960568787
30,Magnolia Science Academy 3,Ingenium Wings Independent Study - Compton,Ingenium Clarion Charter Middle,Soleil Academy Charter,KIPP Corazon Academy,Vox Collegiate of Los Angeles,"(33.851607, -118.24957)","(33.893146, -118.21542)","(33.911229, -118.27006)","(33.917011, -118.2018)","(33.950932, -118.21812)","(33.959629, -118.29418)",33.851607,33.893146,33.911229,33.917011,33.950932,33.959629,-118.24957,-118.21542,-118.27006,-118.2018,-118.21812,-118.29418,0.99242496,0.9725681,0.9725681,0.9351719,0.9709038,0.9725681,Safe,Safe,Safe,Safe,Safe,Safe,455.0,30.0,53.0,91.0,221.0,42.0,0.0,3.4714877121693064,4.274782113040532,5.278326234056501,7.080357930593537,7.874217887988053
31,Magnolia Science Academy 2,Magnolia Science Academy 5,Lashon Academy,High Tech LA Middle,Valley International Preparatory High,Stella Elementary Charter Academy,"(34.18669, -118.50542)","(34.188432, -118.52887)","(34.206356, -118.45749)","(34.169504, -118.45123)","(34.253424, -118.58606)","(34.03156, -118.35235)",34.18669,34.188432,34.206356,34.169504,34.253424,34.03156,-118.50542,-118.52887,-118.45749,-118.45123,-118.58606,-118.35235,0.98369586,0.9581269,0.96260846,0.9480095,0.9280572,0.9240052,Safe,Safe,Safe,Safe,Safe,Safe,471.0,248.0,444.0,59.0,206.0,37.0,0.0,1.3485430016742075,3.061512001876257,3.322613385288174,6.517361611077684,13.832595106974377
32,Learning by Design Charter,Crete Academy,TEACH Preparatory Mildred S. Cunningham & Edith H. Morris Elementary,LA's Promise Charter High #1,Animo City of Champions Charter High,Vox Collegiate of Los Angeles,"(33.975705, -118.31802)","(33.984498, -118.33126)","(33.960687, -118.30939)","(33.995341, -118.30851)","(33.951586, -118.32505)","(33.959629, -118.29418)",33.975705,33.984498,33.960687,33.995341,33.951586,33.959629,-118.31802,-118.33126,-118.30939,-118.30851,-118.32505,-118.29418,0.9750489,0.980271,0.95708424,0.9725681,0.9586507,0.9725681,Safe,Safe,Safe,Safe,Safe,Safe,45.0,124.0,80.0,56.0,164.0,42.0,0.0,0.972229830679167,1.1476204497963511,1.4593810417231259,1.7106911615512022,1.7612560444502339
33,TEACH Preparatory Mildred S. Cunningham & Edith H. Morris Elementary,Vox Collegiate of Los Angeles,Animo City of Champions Charter High,Learning by Design Charter,Crete Academy,LA's Promise Charter High #1,"(33.960687, -118.30939)","(33.959629, -118.29418)","(33.951586, -118.32505)","(33.975705, -118.31802)","(33.984498, -118.33126)","(33.995341, -118.30851)",33.960687,33.959629,33.951586,33.975705,33.984498,33.995341,-118.30939,-118.29418,-118.32505,-118.31802,-118.33126,-118.30851,0.95708424,0.9725681,0.9586507,0.9750489,0.980271,0.9725681,Safe,Safe,Safe,Safe,Safe,Safe,80.0,42.0,164.0,45.0,124.0,56.0,0.0,0.8765795557312485,1.0965589553695048,1.1476204497963511,2.0665233856065304,2.3890173187521824
34,Lashon Academy,High Tech LA Middle,Magnolia Science Academy 2,Magnolia Science Academy 5,Valley International Preparatory High,Stella Elementary Charter Academy,"(34.206356, -118.45749)","(34.169504, -118.45123)","(34.18669, -118.50542)","(34.188432, -118.52887)","(34.253424, -118.58606)","(34.03156, -118.35235)",34.206356,34.169504,34.18669,34.188432,34.253424,34.03156,-118.45749,-118.45123,-118.50542,-118.52887,-118.58606,-118.35235,0.96260846,0.9480095,0.98369586,0.9581269,0.9280572,0.9240052,Safe,Safe,Safe,Safe,Safe,Safe,444.0,59.0,471.0,248.0,206.0,37.0,0.0,2.5652473122891215,3.061512001876257,4.270681956900893,8.043893533841413,13.471367481315866
35,KIPP Corazon Academy,Soleil Academy Charter,Ingenium Wings Independent Study - Compton,Ingenium Clarion Charter Middle,Vox Collegiate of Los Angeles,ISANA Himalia Academy,"(33.950932, -118.21812)","(33.917011, -118.2018)","(33.893146, -118.21542)","(33.911229, -118.27006)","(33.959629, -118.29418)","(33.996155, -118.27794)",33.950932,33.917011,33.893146,33.911229,33.959629,33.996155,-118.21812,-118.2018,-118.21542,-118.27006,-118.29418,-118.27794,0.9709038,0.9351719,0.9725681,0.9725681,0.9725681,0.9771896,Safe,Safe,Safe,Safe,Safe,Safe,221.0,91.0,30.0,53.0,42.0,615.0,0.0,2.518936114291076,3.9858105358826266,4.048785134058329,4.409462924995249,4.6384077028192845
36,LA's Promise Charter High #1,Learning by Design Charter,Crete Academy,ISANA Himalia Academy,STEM Preparatory Elementary,TEACH Preparatory Mildred S. Cunningham & Edith H. Morris Elementary,"(33.995341, -118.30851)","(33.975705, -118.31802)","(33.984498, -118.33126)","(33.996155, -118.27794)","(34.024325, -118.29966)","(33.960687, -118.30939)",33.995341,33.975705,33.984498,33.996155,34.024325,33.960687,-118.30851,-118.31802,-118.33126,-118.27794,-118.29966,-118.30939,0.9725681,0.9750489,0.980271,0.9771896,0.9780172,0.95708424,Safe,Safe,Safe,Safe,Safe,Safe,56.0,45.0,124.0,615.0,147.0,80.0,0.0,1.4593810417231259,1.5048182503639278,1.7558623160956879,2.061268929843894,2.3890173187521824
37,Alma Fuerte Public,OCS - South,Celerity Rolas Charter,PUC International Preparatory Academy,"Method Schools, LA",Los Feliz Charter Middle School for the Arts,"(34.197588, -118.1485)","(34.170745, -118.16168)","(34.139635, -118.19738)","(34.139013, -118.20657)","(34.151331, -118.02213)","(34.110781, -118.24536)",34.197588,34.170745,34.139635,34.139013,34.151331,34.110781,-118.1485,-118.16168,-118.19738,-118.20657,-118.02213,-118.24536,0.93924475,0.9581269,0.88409173,0.96599644,0.47326335,0.9128683,Safe,Safe,Safe,Safe,Risky,Safe,73.0,144.0,309.0,84.0,26.0,30.0,0.0,1.998285266799805,4.878321905439875,5.231495136538068,7.910419355746859,8.16111856317117
38,Animo City of Champions Charter High,TEACH Preparatory Mildred S. Cunningham & Edith H. Morris Elementary,Learning by Design Charter,Vox Collegiate of Los Angeles,Crete Academy,LA's Promise Charter High #1,"(33.951586, -118.32505)","(33.960687, -118.30939)","(33.975705, -118.31802)","(33.959629, -118.29418)","(33.984498, -118.33126)","(33.995341, -118.30851)",33.951586,33.960687,33.975705,33.959629,33.984498,33.995341,-118.32505,-118.30939,-118.31802,-118.29418,-118.33126,-118.30851,0.9586507,0.95708424,0.9750489,0.9725681,0.980271,0.9725681,Safe,Safe,Safe,Safe,Safe,Safe,164.0,80.0,45.0,42.0,124.0,56.0,0.0,1.0965589553695048,1.7106911615512022,1.8576624539220024,2.296275293303659,3.161781020888946
39,Soleil Academy Charter,Ingenium Wings Independent Study - Compton,KIPP Corazon Academy,Ingenium Clarion Charter Middle,Magnolia Science Academy 3,Vox Collegiate of Los Angeles,"(33.917011, -118.2018)","(33.893146, -118.21542)","(33.950932, -118.21812)","(33.911229, -118.27006)","(33.851607, -118.24957)","(33.959629, -118.29418)",33.917011,33.893146,33.950932,33.911229,33.851607,33.959629,-118.2018,-118.21542,-118.21812,-118.27006,-118.24957,-118.29418,0.9351719,0.9725681,0.9709038,0.9725681,0.99242496,0.9725681,Safe,Safe,Safe,Safe,Safe,Safe,91.0,30.0,221.0,53.0,455.0,42.0,0.0,1.8215869641409077,2.518936114291076,3.942613106761833,5.278326234056501,6.065609579984885
40,Magnolia Science Academy 5,Magnolia Science Academy 2,Lashon Academy,High Tech LA Middle,Valley International Preparatory High,Stella Elementary Charter Academy,"(34.188432, -118.52887)","(34.18669, -118.50542)","(34.206356, -118.45749)","(34.169504, -118.45123)","(34.253424, -118.58606)","(34.03156, -118.35235)",34.188432,34.18669,34.206356,34.169504,34.253424,34.03156,-118.52887,-118.50542,-118.45749,-118.45123,-118.58606,-118.35235,0.9581269,0.98369586,0.96260846,0.9480095,0.9280572,0.9240052,Safe,Safe,Safe,Safe,Safe,Safe,248.0,471.0,444.0,59.0,206.0,37.0,0.0,1.3485430016742075,4.270681956900893,4.634973524371453,5.548843138327666,14.809621536128615
41,RISE High,Da Vinci RISE High,Animo City of Champions Charter High,WISH Community,WISH Academy High,TEACH Preparatory Mildred S. Cunningham & Edith H. Morris Elementary,"(33.908904, -118.37765)","(33.917773, -118.38398)","(33.951586, -118.32505)","(33.96779, -118.40387)","(33.957763, -118.42888)","(33.960687, -118.30939)",33.908904,33.917773,33.951586,33.96779,33.957763,33.960687,-118.37765,-118.38398,-118.32505,-118.40387,-118.42888,-118.30939,0.8710464,0.94657284,0.9586507,0.9620292,0.94657284,0.95708424,Safe,Safe,Safe,Safe,Safe,Safe,66.0,132.0,164.0,739.0,74.0,80.0,0.0,0.7113160203710296,4.21739736241431,4.32910643213704,4.472406074010042,5.302460342760119
42,California School of the Arts - San Gabriel Valley,Pacific Coast Academy,"Method Schools, LA",Alma Fuerte Public,OCS - South,Celerity Rolas Charter,"(34.136932, -117.96885)","(34.139356, -117.96756)","(34.151331, -118.02213)","(34.197588, -118.1485)","(34.170745, -118.16168)","(34.139635, -118.19738)",34.136932,34.139356,34.151331,34.197588,34.170745,34.139635,-117.96885,-117.96756,-118.02213,-118.1485,-118.16168,-118.19738,0.9655623,0.9168613,0.47326335,0.93924475,0.9581269,0.88409173,Safe,Safe,Risky,Safe,Safe,Safe,406.0,627.0,26.0,73.0,144.0,309.0,0.0,0.1827026428048782,3.2106200113849512,11.109287879010871,11.292568987579282,13.098846539860071
43,Pacific Coast Academy,California School of the Arts - San Gabriel Valley,"Method Schools, LA",Alma Fuerte Public,OCS - South,Celerity Rolas Charter,"(34.139356, -117.96756)","(34.136932, -117.96885)","(34.151331, -118.02213)","(34.197588, -118.1485)","(34.170745, -118.16168)","(34.139635, -118.19738)",34.139356,34.136932,34.151331,34.197588,34.170745,34.139635,-117.96756,-117.96885,-118.02213,-118.1485,-118.16168,-118.19738,0.9168613,0.9655623,0.47326335,0.93924475,0.9581269,0.88409173,Safe,Safe,Risky,Safe,Safe,Safe,627.0,406.0,26.0,73.0,144.0,309.0,0.0,0.1827026428048782,3.234347904159112,11.116248083288449,11.331668917758174,13.171280054450913
44,Ingenium Wings Independent Study - Compton,Soleil Academy Charter,Ingenium Clarion Charter Middle,Magnolia Science Academy 3,KIPP Corazon Academy,Vox Collegiate of Los Angeles,"(33.893146, -118.21542)","(33.917011, -118.2018)","(33.911229, -118.27006)","(33.851607, -118.24957)","(33.950932, -118.21812)","(33.959629, -118.29418)",33.893146,33.917011,33.911229,33.851607,33.950932,33.959629,-118.21542,-118.2018,-118.27006,-118.24957,-118.21812,-118.29418,0.9725681,0.9351719,0.9725681,0.99242496,0.9709038,0.9725681,Safe,Safe,Safe,Safe,Safe,Safe,30.0,91.0,53.0,455.0,221.0,42.0,0.0,1.8215869641409077,3.3785029923816143,3.4714877121693064,3.9858105358826266,6.439995723416124
45,Community Collaborative Virtual - Keppel Partnership Academy,Pivot Charter School - San Diego II,Baypoint Preparatory Academy - San Diego,Community Collaborative Virtual - Sage Oak Charter,Classical Academy Vista,JCS - Mountain Oaks,"(33.104181, -117.21885)","(33.124043, -117.20913)","(33.137364, -117.19122)","(33.141522, -117.16245)","(33.165025, -117.27027)","(33.045335, -117.27987)",33.104181,33.124043,33.137364,33.141522,33.165025,33.045335,-117.21885,-117.20913,-117.19122,-117.16245,-117.27027,-117.27987,0.8509858,0.9586507,0.9586507,0.71602404,0.9247852,0.87678415,Safe,Safe,Safe,Risky,Safe,Safe,99.0,115.0,88.0,232.0,507.0,337.0,0.0,1.4803036085353423,2.7922387382025144,4.1615521189686495,5.1449027972256305,5.383283757133474
46,Pivot Charter School - San Diego II,Baypoint Preparatory Academy - San Diego,Community Collaborative Virtual - Keppel Partnership Academy,Community Collaborative Virtual - Sage Oak Charter,Classical Academy Vista,Community Montessori,"(33.124043, -117.20913)","(33.137364, -117.19122)","(33.104181, -117.21885)","(33.141522, -117.16245)","(33.165025, -117.27027)","(33.129426, -117.11209)",33.124043,33.137364,33.104181,33.141522,33.165025,33.129426,-117.20913,-117.19122,-117.21885,-117.16245,-117.27027,-117.11209,0.9586507,0.9586507,0.8509858,0.71602404,0.9247852,0.9620292,Safe,Safe,Safe,Risky,Safe,Safe,115.0,88.0,99.0,232.0,507.0,705.0,0.0,1.3860671282043764,1.4803036085353423,2.962537712804748,4.532130520405216,5.639173627238401
47,Baypoint Preparatory Academy - San Diego,Pivot Charter School - San Diego II,Community Collaborative Virtual - Sage Oak Charter,Community Collaborative Virtual - Keppel Partnership Academy,Community Montessori,Classical Academy Vista,"(33.137364, -117.19122)","(33.124043, -117.20913)","(33.141522, -117.16245)","(33.104181, -117.21885)","(33.129426, -117.11209)","(33.165025, -117.27027)",33.137364,33.124043,33.141522,33.104181,33.129426,33.165025,-117.19122,-117.20913,-117.16245,-117.21885,-117.11209,-117.27027,0.9586507,0.9586507,0.71602404,0.8509858,0.9620292,0.9247852,Safe,Safe,Risky,Safe,Safe,Safe,88.0,115.0,232.0,99.0,705.0,507.0,0.0,1.3860671282043764,1.6924497811704746,2.7922387382025144,4.620580595022317,4.9631898200648825
48,Ednovate - Brio College Prep,Equitas Academy 4,Matrix for Success Academy,Gabriella Charter 2,STEM Preparatory Elementary,Excelencia Charter Academy,"(34.048625, -118.25745)","(34.062426, -118.28587)","(34.012475, -118.25769)","(34.0121, -118.26936)","(34.024325, -118.29966)","(34.029607, -118.21028)",34.048625,34.062426,34.012475,34.0121,34.024325,34.029607,-118.25745,-118.28587,-118.25769,-118.26936,-118.29966,-118.21028,0.6317286,0.94299734,0.9725681,0.96375686,0.9780172,0.91688186,Risky,Safe,Safe,Safe,Safe,Safe,106.0,76.0,26.0,126.0,147.0,59.0,0.0,1.8875970197339544,2.4916521652314274,2.6085850993901434,2.944730589948909,3.0072736277299543
49,WISH Academy High,WISH Community,Da Vinci RISE High,RISE High,Crete Academy,Animo City of Champions Charter High,"(33.957763, -118.42888)","(33.96779, -118.40387)","(33.917773, -118.38398)","(33.908904, -118.37765)","(33.984498, -118.33126)","(33.951586, -118.32505)",33.957763,33.96779,33.917773,33.908904,33.984498,33.951586,-118.42888,-118.40387,-118.38398,-118.37765,-118.33126,-118.32505,0.94657284,0.9620292,0.94657284,0.8710464,0.980271,0.9586507,Safe,Safe,Safe,Safe,Safe,Safe,74.0,739.0,132.0,66.0,124.0,164.0,0.0,1.5939452342499438,3.7749220476376357,4.472406074010042,5.900879699938031,5.978727733164979
50,WISH Community,WISH Academy High,Da Vinci RISE High,Crete Academy,RISE High,Animo City of Champions Charter High,"(33.96779, -118.40387)","(33.957763, -118.42888)","(33.917773, -118.38398)","(33.984498, -118.33126)","(33.908904, -118.37765)","(33.951586, -118.32505)",33.96779,33.957763,33.917773,33.984498,33.908904,33.951586,-118.40387,-118.42888,-118.38398,-118.33126,-118.37765,-118.32505,0.9620292,0.94657284,0.94657284,0.980271,0.8710464,0.9586507,Safe,Safe,Safe,Safe,Safe,Safe,739.0,74.0,132.0,124.0,66.0,164.0,0.0,1.5939452342499438,3.6317453409019693,4.325469832153605,4.32910643213704,4.662553049738567
51,Excelencia Charter Academy,Ednovate - Esperanza College Prep,Matrix for Success Academy,Ednovate - Brio College Prep,Gabriella Charter 2,ISANA Himalia Academy,"(34.029607, -118.21028)","(34.038931, -118.17147)","(34.012475, -118.25769)","(34.048625, -118.25745)","(34.0121, -118.26936)","(33.996155, -118.27794)",34.029607,34.038931,34.012475,34.048625,34.0121,33.996155,-118.21028,-118.17147,-118.25769,-118.25745,-118.26936,-118.27794,0.91688186,0.80295205,0.9725681,0.6317286,0.96375686,0.9771896,Safe,Safe,Safe,Risky,Safe,Safe,59.0,72.0,26.0,106.0,126.0,615.0,0.0,2.3178740235789164,2.9660866542427895,3.0072736277299543,3.5989833300722527,4.516328383244697
52,Crete Academy,Learning by Design Charter,LA's Promise Charter High #1,TEACH Preparatory Mildred S. Cunningham & Edith H. Morris Elementary,Animo City of Champions Charter High,Vox Collegiate of Los Angeles,"(33.984498, -118.33126)","(33.975705, -118.31802)","(33.995341, -118.30851)","(33.960687, -118.30939)","(33.951586, -118.32505)","(33.959629, -118.29418)",33.984498,33.975705,33.995341,33.960687,33.951586,33.959629,-118.33126,-118.31802,-118.30851,-118.30939,-118.32505,-118.29418,0.980271,0.9750489,0.9725681,0.95708424,0.9586507,0.9725681,Safe,Safe,Safe,Safe,Safe,Safe,124.0,45.0,56.0,80.0,164.0,42.0,0.0,0.972229830679167,1.5048182503639278,2.0665233856065304,2.296275293303659,2.73346967294579
53,Los Feliz Charter Middle School for the Arts,PUC International Preparatory Academy,Celerity Rolas Charter,Equitas Academy 4,Ednovate - Brio College Prep,Excelencia Charter Academy,"(34.110781, -118.24536)","(34.139013, -118.20657)","(34.139635, -118.19738)","(34.062426, -118.28587)","(34.048625, -118.25745)","(34.029607, -118.21028)",34.110781,34.139013,34.139635,34.062426,34.048625,34.029607,-118.24536,-118.20657,-118.19738,-118.28587,-118.25745,-118.21028,0.9128683,0.96599644,0.88409173,0.94299734,0.6317286,0.91688186,Safe,Safe,Safe,Safe,Risky,Safe,30.0,84.0,309.0,76.0,106.0,59.0,0.0,2.954728039339823,3.393983662891442,4.062622094858866,4.339843303411081,5.9457135366868075
54,Valley International Preparatory High,Magnolia Science Academy 5,Magnolia Science Academy 2,Lashon Academy,High Tech LA Middle,California Virtual Academy at Maricopa,"(34.253424, -118.58606)","(34.188432, -118.52887)","(34.18669, -118.50542)","(34.206356, -118.45749)","(34.169504, -118.45123)","(34.275812, -118.79795)",34.253424,34.188432,34.18669,34.206356,34.169504,34.275812,-118.58606,-118.52887,-118.50542,-118.45749,-118.45123,-118.79795,0.9280572,0.9581269,0.98369586,0.96260846,0.9480095,0.9687942,Safe,Safe,Safe,Safe,Safe,Safe,206.0,248.0,471.0,444.0,59.0,549.0,0.0,5.548843138327666,6.517361611077684,8.043893533841413,9.647152887600665,12.223544226121538
55,Gabriella Charter 2,Matrix for Success Academy,ISANA Himalia Academy,STEM Preparatory Elementary,LA's Promise Charter High #1,Ednovate - Brio College Prep,"(34.0121, -118.26936)","(34.012475, -118.25769)","(33.996155, -118.27794)","(34.024325, -118.29966)","(33.995341, -118.30851)","(34.048625, -118.25745)",34.0121,34.012475,33.996155,34.024325,33.995341,34.048625,-118.26936,-118.25769,-118.27794,-118.29966,-118.30851,-118.25745,0.96375686,0.9725681,0.9771896,0.9780172,0.9725681,0.6317286,Safe,Safe,Safe,Safe,Safe,Risky,126.0,26.0,615.0,147.0,56.0,106.0,0.0,0.6703212170533173,1.2043072654659333,1.9323868623380132,2.5267935339842893,2.6085850993901434
56,Matrix for Success Academy,Gabriella Charter 2,ISANA Himalia Academy,Ednovate - Brio College Prep,STEM Preparatory Elementary,Excelencia Charter Academy,"(34.012475, -118.25769)","(34.0121, -118.26936)","(33.996155, -118.27794)","(34.048625, -118.25745)","(34.024325, -118.29966)","(34.029607, -118.21028)",34.012475,34.0121,33.996155,34.048625,34.024325,34.029607,-118.25769,-118.26936,-118.27794,-118.25745,-118.29966,-118.21028,0.9725681,0.96375686,0.9771896,0.6317286,0.9780172,0.91688186,Safe,Safe,Safe,Risky,Safe,Safe,26.0,126.0,615.0,106.0,147.0,59.0,0.0,0.6703212170533173,1.617539155213299,2.4916521652314274,2.5434812601891976,2.9660866542427895
57,Vox Collegiate of Los Angeles,TEACH Preparatory Mildred S. Cunningham & Edith H. Morris Elementary,Learning by Design Charter,Animo City of Champions Charter High,LA's Promise Charter High #1,ISANA Himalia Academy,"(33.959629, -118.29418)","(33.960687, -118.30939)","(33.975705, -118.31802)","(33.951586, -118.32505)","(33.995341, -118.30851)","(33.996155, -118.27794)",33.959629,33.960687,33.975705,33.951586,33.995341,33.996155,-118.29418,-118.30939,-118.31802,-118.32505,-118.30851,-118.27794,0.9725681,0.95708424,0.9750489,0.9586507,0.9725681,0.9771896,Safe,Safe,Safe,Safe,Safe,Safe,42.0,80.0,45.0,164.0,56.0,615.0,0.0,0.8765795557312485,1.7612560444502339,1.8576624539220024,2.5952968045789495,2.6846615960568787
58,PUC International Preparatory Academy,Celerity Rolas Charter,Los Feliz Charter Middle School for the Arts,OCS - South,Alma Fuerte Public,Ednovate - Brio College Prep,"(34.139013, -118.20657)","(34.139635, -118.19738)","(34.110781, -118.24536)","(34.170745, -118.16168)","(34.197588, -118.1485)","(34.048625, -118.25745)",34.139013,34.139635,34.110781,34.170745,34.197588,34.048625,-118.20657,-118.19738,-118.24536,-118.16168,-118.1485,-118.25745,0.96599644,0.88409173,0.9128683,0.9581269,0.93924475,0.6317286,Safe,Safe,Safe,Safe,Safe,Risky,84.0,309.0,30.0,144.0,73.0,106.0,0.0,0.5284333010175295,2.954728039339823,3.3763918528849155,5.231495136538068,6.879318190029561
59,Celerity Rolas Charter,PUC International Preparatory Academy,OCS - South,Los Feliz Charter Middle School for the Arts,Alma Fuerte Public,Ednovate - Esperanza College Prep,"(34.139635, -118.19738)","(34.139013, -118.20657)","(34.170745, -118.16168)","(34.110781, -118.24536)","(34.197588, -118.1485)","(34.038931, -118.17147)",34.139635,34.139013,34.170745,34.110781,34.197588,34.038931,-118.19738,-118.20657,-118.16168,-118.24536,-118.1485,-118.17147,0.88409173,0.96599644,0.9581269,0.9128683,0.93924475,0.80295205,Safe,Safe,Safe,Safe,Safe,Safe,309.0,84.0,144.0,30.0,73.0,72.0,0.0,0.5284333010175295,2.9635361409371197,3.393983662891442,4.878321905439875,7.098267964860444
60,Ingenium Clarion Charter Middle,Ingenium Wings Independent Study - Compton,Vox Collegiate of Los Angeles,Soleil Academy Charter,KIPP Corazon Academy,TEACH Preparatory Mildred S. Cunningham & Edith H. Morris Elementary,"(33.911229, -118.27006)","(33.893146, -118.21542)","(33.959629, -118.29418)","(33.917011, -118.2018)","(33.950932, -118.21812)","(33.960687, -118.30939)",33.911229,33.893146,33.959629,33.917011,33.950932,33.960687,-118.27006,-118.21542,-118.29418,-118.2018,-118.21812,-118.30939,0.9725681,0.9725681,0.9725681,0.9351719,0.9709038,0.95708424,Safe,Safe,Safe,Safe,Safe,Safe,53.0,30.0,42.0,91.0,221.0,80.0,0.0,3.3785029923816143,3.6122275605306973,3.942613106761833,4.048785134058329,4.0896252881618995
61,Ednovate - Esperanza College Prep,Excelencia Charter Academy,Ednovate - Brio College Prep,Matrix for Success Academy,Gabriella Charter 2,Los Feliz Charter Middle School for the Arts,"(34.038931, -118.17147)","(34.029607, -118.21028)","(34.048625, -118.25745)","(34.012475, -118.25769)","(34.0121, -118.26936)","(34.110781, -118.24536)",34.038931,34.029607,34.048625,34.012475,34.0121,34.110781,-118.17147,-118.21028,-118.25745,-118.25769,-118.26936,-118.24536,0.80295205,0.91688186,0.6317286,0.9725681,0.96375686,0.9128683,Safe,Safe,Risky,Safe,Safe,Safe,72.0,59.0,106.0,26.0,126.0,30.0,0.0,2.3178740235789164,4.9782114491627585,5.273291175670673,5.91427893129186,6.518049382796609
62,Equitas Academy 4,Ednovate - Brio College Prep,STEM Preparatory Elementary,Gabriella Charter 2,Matrix for Success Academy,Los Feliz Charter Middle School for the Arts,"(34.062426, -118.28587)","(34.048625, -118.25745)","(34.024325, -118.29966)","(34.0121, -118.26936)","(34.012475, -118.25769)","(34.110781, -118.24536)",34.062426,34.048625,34.024325,34.0121,34.012475,34.110781,-118.28587,-118.25745,-118.29966,-118.26936,-118.25769,-118.24536,0.94299734,0.6317286,0.9780172,0.96375686,0.9725681,0.9128683,Safe,Risky,Safe,Safe,Safe,Safe,76.0,106.0,147.0,126.0,26.0,30.0,0.0,1.8875970197339544,2.7426950029625115,3.5957292634693125,3.803650149319627,4.062622094858866
63,High Tech LA Middle,Lashon Academy,Magnolia Science Academy 2,Magnolia Science Academy 5,Valley International Preparatory High,Stella Elementary Charter Academy,"(34.169504, -118.45123)","(34.206356, -118.45749)","(34.18669, -118.50542)","(34.188432, -118.52887)","(34.253424, -118.58606)","(34.03156, -118.35235)",34.169504,34.206356,34.18669,34.188432,34.253424,34.03156,-118.45123,-118.45749,-118.50542,-118.52887,-118.58606,-118.35235,0.9480095,0.96260846,0.98369586,0.9581269,0.9280572,0.9240052,Safe,Safe,Safe,Safe,Safe,Safe,59.0,444.0,471.0,248.0,206.0,37.0,0.0,2.5652473122891215,3.322613385288174,4.634973524371453,9.647152887600665,11.06986612887729
64,OCS - South,Alma Fuerte Public,Celerity Rolas Charter,PUC International Preparatory Academy,Los Feliz Charter Middle School for the Arts,"Method Schools, LA","(34.170745, -118.16168)","(34.197588, -118.1485)","(34.139635, -118.19738)","(34.139013, -118.20657)","(34.110781, -118.24536)","(34.151331, -118.02213)",34.170745,34.197588,34.139635,34.139013,34.110781,34.151331,-118.16168,-118.1485,-118.19738,-118.20657,-118.24536,-118.02213,0.9581269,0.93924475,0.88409173,0.96599644,0.9128683,0.47326335,Safe,Safe,Safe,Safe,Safe,Risky,144.0,73.0,309.0,84.0,30.0,26.0,0.0,1.998285266799805,2.9635361409371197,3.3763918528849155,6.330968841684393,8.106949863057517
65,iLEAD Online,iLead Agua Dulce,Gorman Learning Center San Bernardino/Santa Clarita,Alma Fuerte Public,OCS - South,Celerity Rolas Charter,"(34.492805, -118.19593)","(34.487679, -118.33247)","(34.418647, -118.42493)","(34.197588, -118.1485)","(34.170745, -118.16168)","(34.139635, -118.19738)",34.492805,34.487679,34.418647,34.197588,34.170745,34.139635,-118.19593,-118.33247,-118.42493,-118.1485,-118.16168,-118.19738,0.31590426,0.9302472,0.9733132,0.93924475,0.9581269,0.88409173,Risky,Safe,Safe,Safe,Safe,Safe,13.0,119.0,1266.0,73.0,144.0,309.0,0.0,7.800803053438613,14.038846143566532,20.52855851493459,22.285080177049625,24.34327811849034
66,iLead Agua Dulce,Gorman Learning Center San Bernardino/Santa Clarita,iLEAD Online,Lashon Academy,Valley International Preparatory High,Alma Fuerte Public,"(34.487679, -118.33247)","(34.418647, -118.42493)","(34.492805, -118.19593)","(34.206356, -118.45749)","(34.253424, -118.58606)","(34.197588, -118.1485)",34.487679,34.418647,34.492805,34.206356,34.253424,34.197588,-118.33247,-118.42493,-118.19593,-118.45749,-118.58606,-118.1485,0.9302472,0.9733132,0.31590426,0.96260846,0.9280572,0.93924475,Safe,Safe,Risky,Safe,Safe,Safe,119.0,1266.0,13.0,444.0,206.0,73.0,0.0,7.107245106421697,7.800803053438613,20.666328655661054,21.697689163677655,22.593069325243707
